,date,likes,comments,reposts,link
0,1,157,4,21,https://www.linkedin.com/feed/update/urn:li:activity:7041079219199598592
1,1,1144,74,80,https://www.linkedin.com/feed/update/urn:li:activity:7040618495104962560
2,1,703,30,99,https://www.linkedin.com/feed/update/urn:li:activity:7040255781115424769
3,1,96,13,18,https://www.linkedin.com/feed/update/urn:li:activity:7039961865354911744
4,1,1217,75,170,https://www.linkedin.com/feed/update/urn:li:activity:7039498560706367488
5,1,1075,120,146,https://www.linkedin.com/feed/update/urn:li:activity:7038774854614974465
6,1,149,15,31,https://www.linkedin.com/feed/update/urn:li:activity:7038416203106648064
7,1,748,53,99,https://www.linkedin.com/feed/update/urn:li:activity:7038126851189309440
8,1,84,12,11,https://www.linkedin.com/feed/update/urn:li:activity:7038054975947558912
9,1,965,67,116,https://www.linkedin.com/feed/update/urn:li:activity:7037802172272570368
10,1,68,1,0,https://www.linkedin.com/feed/update/urn:li:activity:7037683372571127808
11,1,698,52,83,https://www.linkedin.com/feed/update/urn:li:activity:7037421793095098368
12,1,580,47,102,https://www.linkedin.com/feed/update/urn:li:activity:7037358436426113024
13,1,686,64,107,https://www.linkedin.com/feed/update/urn:li:activity:7037063285380128770
14,1,123,15,14,https://www.linkedin.com/feed/update/urn:li:activity:7036976951407865856
15,1,352,35,24,https://www.linkedin.com/feed/update/urn:li:activity:7036613966684413955
16,1,119,27,14,https://www.linkedin.com/feed/update/urn:li:activity:7036416581425356801
17,1,407,25,50,https://www.linkedin.com/feed/update/urn:li:activity:7035526207739686912
18,1,865,143,93,https://www.linkedin.com/feed/update/urn:li:activity:7035158334911434752
19,1,5,1,0,https://www.linkedin.com/feed/update/urn:li:activity:7035150607778766848
20,1,199,5,5,https://www.linkedin.com/feed/update/urn:li:activity:7034875205357330432
21,1,78,9,10,https://www.linkedin.com/feed/update/urn:li:activity:7034835486787411968
22,1,59,2,0,https://www.linkedin.com/feed/update/urn:li:activity:7034816513928765440
23,1,338,15,32,https://www.linkedin.com/feed/update/urn:li:activity:7034409783998738432
24,1,409,37,42,https://www.linkedin.com/feed/update/urn:li:activity:7034212360609255425
25,1,89,3,2,https://www.linkedin.com/feed/update/urn:li:activity:7034144589938614272
26,1,122,5,10,https://www.linkedin.com/feed/update/urn:li:activity:7033397764851933184
27,1,580,47,64,https://www.linkedin.com/feed/update/urn:li:activity:7033029871077355520
28,1,564,15,4,https://www.linkedin.com/feed/update/urn:li:activity:7032696741342650368
29,1,286,10,13,https://www.linkedin.com/feed/update/urn:li:activity:7032608465973833728
30,1,1370,199,112,https://www.linkedin.com/feed/update/urn:li:activity:7032327548525019136
31,1,520,53,51,https://www.linkedin.com/feed/update/urn:li:activity:7032071596655697921
32,1,204,21,37,https://www.linkedin.com/feed/update/urn:li:activity:7031629495702835200
33,1,95,6,9,https://www.linkedin.com/feed/update/urn:li:activity:7031234069308788736
34,1,114,3,10,https://www.linkedin.com/feed/update/urn:li:activity:7030804354278260736
35,1,595,51,58,https://www.linkedin.com/feed/update/urn:li:activity:7030535366113656832
36,1,124,12,23,https://www.linkedin.com/feed/update/urn:li:activity:7030475211783196672
37,1,3593,207,345,https://www.linkedin.com/feed/update/urn:li:activity:7029882717160787968
38,1,271,39,27,https://www.linkedin.com/feed/update/urn:li:activity:7029020108022796288
39,1,51,11,1,https://www.linkedin.com/feed/update/urn:li:activity:7028804644533366784
40,1,342,8,26,https://www.linkedin.com/feed/update/urn:li:activity:7028640097101078529
41,1,438,26,38,https://www.linkedin.com/feed/update/urn:li:activity:7028269115551150080
