,date,likes,comments,reposts,link
0,1,163,36,1,https://www.linkedin.com/feed/update/urn:li:activity:7041830318277816320
1,1,29,15,0,https://www.linkedin.com/feed/update/urn:li:activity:7041721113218830336
2,1,346,60,3,https://www.linkedin.com/feed/update/urn:li:activity:7040984847128920065
3,1,280,76,4,https://www.linkedin.com/feed/update/urn:li:activity:7040265486453891072
4,1,467,33,8,https://www.linkedin.com/feed/update/urn:li:activity:7039125303650091008
5,1,172,24,1,https://www.linkedin.com/feed/update/urn:li:activity:7038888763229372417
6,1,163,11,0,https://www.linkedin.com/feed/update/urn:li:activity:7038577186399744001
7,1,606,56,22,https://www.linkedin.com/feed/update/urn:li:activity:7038188788870733825
8,1,772,52,13,https://www.linkedin.com/feed/update/urn:li:activity:7037299460053336064
9,1,3117,295,47,https://www.linkedin.com/feed/update/urn:li:activity:7037028095828054016
10,1,741,11,15,https://www.linkedin.com/feed/update/urn:li:activity:7036365961024688128
11,1,592,145,3,https://www.linkedin.com/feed/update/urn:li:activity:7035940128938184704
12,1,7156,492,28,https://www.linkedin.com/feed/update/urn:li:activity:7034082678551273472
13,1,129,8,0,https://www.linkedin.com/feed/update/urn:li:activity:7033712422745993216
14,1,572,118,8,https://www.linkedin.com/feed/update/urn:li:activity:7033375411497533441
15,1,1169,116,7,https://www.linkedin.com/feed/update/urn:li:activity:7032280454439292928
16,1,1777,386,26,https://www.linkedin.com/feed/update/urn:li:activity:7031873195246809088
17,1,91,22,2,https://www.linkedin.com/feed/update/urn:li:activity:7031186323541544960
18,1,175,10,3,https://www.linkedin.com/feed/update/urn:li:activity:7026814328695607296
19,1,331,47,6,https://www.linkedin.com/feed/update/urn:li:activity:7026570187743121408
20,1,224,19,5,https://www.linkedin.com/feed/update/urn:li:activity:7026093991339118592
21,1,291,5,4,https://www.linkedin.com/feed/update/urn:li:activity:7025715945125904384
22,1,111,11,3,https://www.linkedin.com/feed/update/urn:li:activity:7024653061960658944
23,1,570,41,3,https://www.linkedin.com/feed/update/urn:li:activity:7024275010236096512
24,1,352,12,0,https://www.linkedin.com/feed/update/urn:li:activity:7022577870640209920
25,2,1709,341,20,https://www.linkedin.com/feed/update/urn:li:activity:7019398208271343617
26,2,486,24,6,https://www.linkedin.com/feed/update/urn:li:activity:7018459030104731648
27,2,4228,124,74,https://www.linkedin.com/feed/update/urn:li:activity:7018104605070741504
28,2,358,59,3,https://www.linkedin.com/feed/update/urn:li:activity:7014862345017384960
29,2,1058,59,5,https://www.linkedin.com/feed/update/urn:li:activity:7014155270771625984
30,2,193,47,6,https://www.linkedin.com/feed/update/urn:li:activity:7013826247226970112
31,2,390,7,2,https://www.linkedin.com/feed/update/urn:li:activity:7012395675480956928
32,3,2990,230,10,https://www.linkedin.com/feed/update/urn:li:activity:7011588106487275520
33,3,1183,51,11,https://www.linkedin.com/feed/update/urn:li:activity:7011313738767040512
34,3,460,99,16,https://www.linkedin.com/feed/update/urn:li:activity:7010876989049815040
35,3,240,30,1,https://www.linkedin.com/feed/update/urn:li:activity:7010566405817257984
36,3,413,31,1,https://www.linkedin.com/feed/update/urn:li:activity:7010187823156723712
37,3,1287,47,4,https://www.linkedin.com/feed/update/urn:li:activity:7009154016219643904
38,3,187,12,2,https://www.linkedin.com/feed/update/urn:li:activity:7008736648658046976
39,3,278,41,6,https://www.linkedin.com/feed/update/urn:li:activity:7008006834217197568
40,3,750,75,7,https://www.linkedin.com/feed/update/urn:li:activity:7007635492733075456
41,3,2166,272,4,https://www.linkedin.com/feed/update/urn:li:activity:7006876185846521856
42,3,2189,208,44,https://www.linkedin.com/feed/update/urn:li:activity:7006193580268470272
43,3,807,63,9,https://www.linkedin.com/feed/update/urn:li:activity:7004705850132955136
44,3,111,20,4,https://www.linkedin.com/feed/update/urn:li:activity:7004182628304048128
45,3,249,16,18,https://www.linkedin.com/feed/update/urn:li:activity:7003997155086458880
46,3,2356,161,22,https://www.linkedin.com/feed/update/urn:li:activity:7003789499008753664
47,3,112,19,4,https://www.linkedin.com/feed/update/urn:li:activity:7003623392977244160
48,3,145,1,1,https://www.linkedin.com/feed/update/urn:li:activity:7002901869920452608
