,date,likes,comments,reposts,link
1,1,6,0,0,https://www.linkedin.com/feed/update/urn:li:activity:7041681537347514369
2,1,32,1,1,https://www.linkedin.com/feed/update/urn:li:activity:7041309484413042688
3,1,27,2,0,https://www.linkedin.com/feed/update/urn:li:activity:7040962195655917568
4,1,24,1,0,https://www.linkedin.com/feed/update/urn:li:activity:7040949167292063744
5,1,1265,60,36,https://www.linkedin.com/feed/update/urn:li:activity:7039497542035722240
6,1,19,6,0,https://www.linkedin.com/feed/update/urn:li:activity:7038772768175190016
7,1,56,14,4,https://www.linkedin.com/feed/update/urn:li:activity:7038421419440893952
8,1,0,0,0,https://www.linkedin.com/feed/update/urn:li:activity:7037367649944653824
9,1,10,0,0,https://www.linkedin.com/feed/update/urn:li:activity:7037323213848084480
10,1,12,0,1,https://www.linkedin.com/feed/update/urn:li:activity:7036960832924090368
11,1,39,14,0,https://www.linkedin.com/feed/update/urn:li:activity:7036598441308749824
12,1,29,2,0,https://www.linkedin.com/feed/update/urn:li:activity:7035873662821924864
13,1,65,15,5,https://www.linkedin.com/feed/update/urn:li:activity:7034424112441610240
14,1,8,1,0,https://www.linkedin.com/feed/update/urn:li:activity:7033351126317977600
15,1,704,93,66,https://www.linkedin.com/feed/update/urn:li:activity:7033336946823200768
16,1,22,2,0,https://www.linkedin.com/feed/update/urn:li:activity:7031887395234934785
17,1,22,3,0,https://www.linkedin.com/feed/update/urn:li:activity:7031525011211345920
18,1,17,5,0,https://www.linkedin.com/feed/update/urn:li:activity:7030836474941988865
19,1,12,4,0,https://www.linkedin.com/feed/update/urn:li:activity:7028305245113839617
20,1,25,2,0,https://www.linkedin.com/feed/update/urn:li:activity:7026806419475550208
21,1,21,2,0,https://www.linkedin.com/feed/update/urn:li:activity:7026451578677022720
22,1,13,1,0,https://www.linkedin.com/feed/update/urn:li:activity:7026181999413325824
23,1,17,3,0,https://www.linkedin.com/feed/update/urn:li:activity:7025726801456824320
24,1,85,14,0,https://www.linkedin.com/feed/update/urn:li:activity:7024745020494610432
25,1,45,7,0,https://www.linkedin.com/feed/update/urn:li:activity:7024660655257321472
26,1,58,12,2,https://www.linkedin.com/feed/update/urn:li:activity:7024277249994457088
27,1,48,20,1,https://www.linkedin.com/feed/update/urn:li:activity:7023560023851028480
28,1,125,18,29,https://www.linkedin.com/feed/update/urn:li:activity:7023239980760100864
29,2,167,31,5,https://www.linkedin.com/feed/update/urn:li:activity:7021735687578116097
30,2,12,0,0,https://www.linkedin.com/feed/update/urn:li:activity:7018856775932067840
31,2,15,1,0,https://www.linkedin.com/feed/update/urn:li:activity:7018490446934867968
32,2,75,6,3,https://www.linkedin.com/feed/update/urn:li:activity:7018131756197281792
33,2,34,3,0,https://www.linkedin.com/feed/update/urn:li:activity:7016681079143038976
34,2,52,7,2,https://www.linkedin.com/feed/update/urn:li:activity:7015972302534107136
35,3,34,1,1,https://www.linkedin.com/feed/update/urn:li:activity:7011242636795600896
36,3,32,4,0,https://www.linkedin.com/feed/update/urn:li:activity:7010537610154508288
37,3,86,18,4,https://www.linkedin.com/feed/update/urn:li:activity:7006893102405701632
