,date,likes,comments,reposts,link
0,1,30,2,0,https://www.linkedin.com/feed/update/urn:li:activity:7039151495744749568
1,1,18,1,1,https://www.linkedin.com/feed/update/urn:li:activity:7038808032801124352
2,1,98,9,2,https://www.linkedin.com/feed/update/urn:li:activity:7038425539077885952
3,1,97,6,0,https://www.linkedin.com/feed/update/urn:li:activity:7036285634851786752
4,1,43,3,1,https://www.linkedin.com/feed/update/urn:li:activity:7034154688870543360
5,1,25,0,0,https://www.linkedin.com/feed/update/urn:li:activity:7033744566428041216
6,1,128,24,0,https://www.linkedin.com/feed/update/urn:li:activity:7029454495432495104
7,1,31,0,0,https://www.linkedin.com/feed/update/urn:li:activity:7028344446513487872
8,1,652,95,5,https://www.linkedin.com/feed/update/urn:li:activity:7026453497298452480
9,1,46,2,2,https://www.linkedin.com/feed/update/urn:li:activity:7024640554256723968
10,1,74,3,0,https://www.linkedin.com/feed/update/urn:li:activity:7024333382813646848
11,1,56,2,0,https://www.linkedin.com/feed/update/urn:li:activity:7023964764749856770
12,1,73,8,1,https://www.linkedin.com/feed/update/urn:li:activity:7023556342221033472
13,1,34,2,1,https://www.linkedin.com/feed/update/urn:li:activity:7023308705643298816
14,2,57,0,0,https://www.linkedin.com/feed/update/urn:li:activity:7011604153416187904
15,3,35,3,0,https://www.linkedin.com/feed/update/urn:li:activity:7010557568393617408
16,3,29,0,0,https://www.linkedin.com/feed/update/urn:li:activity:7008748333150150657
17,3,79,4,0,https://www.linkedin.com/feed/update/urn:li:activity:7008354184773128192
18,3,241,15,1,https://www.linkedin.com/feed/update/urn:li:activity:7006617031789682688
19,3,51,2,0,https://www.linkedin.com/feed/update/urn:li:activity:7006157880877830145
20,3,51,1,1,https://www.linkedin.com/feed/update/urn:li:activity:7005835227386306560
21,3,7,0,0,https://www.linkedin.com/feed/update/urn:li:activity:7005512243589132288
22,3,56,8,0,https://www.linkedin.com/feed/update/urn:li:activity:7005099293002878977
23,3,111,20,0,https://www.linkedin.com/feed/update/urn:li:activity:7004738512470089728
24,3,26,2,0,https://www.linkedin.com/feed/update/urn:li:activity:7001823723255140352
25,3,61,4,0,https://www.linkedin.com/feed/update/urn:li:activity:7001465530800857091
26,3,205,19,2,https://www.linkedin.com/feed/update/urn:li:activity:7000781479563694081
